CustomerKey,First Name,Last Name,DOB,Gender,Income,DateFirstPurchase,Customer City
11000,Jon,Yang,1971-10-06,Male,90000.00,2020-01-19,Rockhampton
11001,Eugene,Huang,1976-05-10,Male,60000.00,2020-01-15,Seaford
11002,Ruben,Torres,1971-02-09,Male,60000.00,2020-01-07,Hobart
11003,Christy,Zhu,1973-08-14,Female,70000.00,2019-12-29,North Ryde
11004,Elizabeth,Johnson,1979-08-05,Female,80000.00,2020-01-23,Wollongong
11005,Julio,Ruiz,1976-08-01,Male,70000.00,2019-12-30,East Brisbane
11006,Janet,Alvarez,1976-12-02,Female,70000.00,2020-01-24,Matraville
11007,Marco,Mehta,1969-11-06,Male,60000.00,2020-01-09,Warrnambool
11008,Rob,Verhoff,1975-07-04,Female,60000.00,2020-01-25,Bendigo
11009,Shannon,Carlson,1969-09-29,Male,70000.00,2020-01-27,Hervey Bay
11010,Jacquelyn,Suarez,1969-08-05,Female,70000.00,2020-01-14,East Brisbane
11011,Curtis,Lu,1969-05-03,Male,60000.00,2019-12-30,East Brisbane
11012,Lauren,Walker,1979-01-14,Female,100000.00,2022-03-16,Bremerton
11013,Ian,Jenkins,1979-08-03,Male,100000.00,2022-04-13,Lebanon
11014,Sydney,Bennett,1973-11-06,Female,100000.00,2022-03-23,Redmond
11015,Chloe,Young,1984-08-26,Female,30000.00,2022-01-18,Burbank
11016,Wyatt,Hill,1984-10-25,Male,30000.00,2022-02-09,Imperial Beach
11017,Shannon,Wang,1949-12-24,Female,20000.00,2020-01-12,Sunbury
11018,Clarence,Rai,1955-10-06,Male,30000.00,2020-01-17,Bendigo
11019,Luke,Lal,1983-09-04,Male,40000.00,2022-02-12,Langley
11020,Jordan,King,1984-03-19,Male,40000.00,2021-12-29,Metchosin
11021,Destiny,Wilson,1984-03-02,Female,40000.00,2022-01-23,Beaverton
11022,Ethan,Zhang,1984-04-10,Male,40000.00,2022-01-20,Bellingham
11023,Seth,Edwards,1984-04-09,Male,40000.00,2022-02-17,Bellflower
11024,Russell,Xie,1984-03-16,Male,60000.00,2022-06-27,Concord
11025,Alejandro,Beck,1951-06-22,Male,10000.00,2020-01-06,Hawthorne
11026,Harold,Sai,1951-10-01,Male,30000.00,2020-01-23,Goulburn
11027,Jessie,Zhao,1952-06-05,Male,30000.00,2020-01-16,Warrnambool
11028,Jill,Jimenez,1951-10-09,Female,30000.00,2020-01-26,St. Leonards
11029,Jimmy,Moreno,1952-06-19,Male,30000.00,2020-01-19,Bendigo
11030,Bethany,Yuan,1958-02-18,Female,10000.00,2020-02-05,Cloverdale
11031,Theresa,Ramos,1953-02-18,Female,20000.00,2020-02-01,Matraville
11032,Denise,Stone,1952-12-08,Female,20000.00,2020-02-18,Melbourne
11033,Jaime,Nath,1958-09-19,Male,20000.00,2020-02-15,Milsons Point
11034,Ebony,Gonzalez,1952-12-16,Female,20000.00,2020-02-01,North Sydney
11035,Wendy,Dominguez,1953-08-23,Female,10000.00,2020-02-06,Cranbourne
11036,Jennifer,Russell,1984-06-16,Female,60000.00,2022-01-22,National City
11037,Chloe,Garcia,1983-05-27,Female,40000.00,2022-01-20,Cliffside
11038,Diana,Hernandez,1953-09-20,Female,10000.00,2020-02-07,Lavender Bay
11039,Marc,Martin,1954-06-16,Male,30000.00,2020-02-07,Wollongong
11040,Jesse,Murphy,1983-01-29,Male,30000.00,2022-04-03,Tacoma
11041,Amanda,Carter,1983-04-15,Female,60000.00,2022-01-14,Glendale
11042,Megan,Sanchez,1982-12-11,Female,70000.00,2022-01-21,Los Angeles
11043,Nathan,Simmons,1981-08-23,Male,60000.00,2022-05-08,Glendale
11044,Adam,Flores,1954-11-21,Male,20000.00,2020-02-28,Hervey Bay
11045,Leonard,Nara,1955-11-16,Male,30000.00,2022-04-10,Matraville
11046,Christine,Yuan,1955-09-19,Female,30000.00,2020-02-06,Lavender Bay
11047,Jaclyn,Lu,1955-08-27,Female,30000.00,2020-02-03,Geelong
11048,Jeremy,Powell,1956-05-21,Male,30000.00,2020-02-10,Sunbury
11049,Carol,Rai,1986-01-15,Female,40000.00,2022-03-09,Chula Vista
11050,Alan,Zheng,1957-03-06,Male,30000.00,2020-02-20,Hobart
11051,Daniel,Johnson,1957-01-31,Male,30000.00,2022-12-29,Caloundra
11052,Heidi,Lopez,1957-02-03,Female,40000.00,2020-02-17,Matraville
11053,Ana,Price,1986-02-17,Female,60000.00,2022-01-17,San Diego
11054,Deanna,Munoz,1957-09-07,Female,40000.00,2020-02-03,Geelong
11055,Gilbert,Raje,1957-09-02,Male,40000.00,2020-01-31,East Brisbane
11056,Michele,Nath,1958-10-01,Female,40000.00,2020-02-26,Newcastle
11057,Carl,Andersen,1970-04-07,Male,70000.00,2020-02-22,Lane Cove
11058,Marc,Diaz,1965-04-23,Male,80000.00,2020-03-09,Findon
11059,Ashlee,Andersen,1959-09-29,Female,80000.00,2022-02-18,Townsville
11060,Jon,Zhou,1959-09-14,Male,80000.00,2020-03-19,Warrnambool
11061,Todd,Gao,1976-02-20,Male,80000.00,2020-03-13,Gold Coast
11062,Noah,Powell,1981-03-01,Male,40000.00,2022-01-07,Portland
11063,Angela,Murphy,1980-10-04,Female,40000.00,2022-01-12,Redmond
11064,Chase,Reed,1981-06-05,Male,40000.00,2022-01-25,Downey
11065,Jessica,Henderson,1979-04-08,Female,60000.00,2022-02-10,La Jolla
11066,Grace,Butler,1979-05-27,Female,70000.00,2022-05-31,Lebanon
11067,Caleb,Carter,1982-03-25,Male,60000.00,2022-08-18,Port Orchard
11068,Tiffany,Liang,1966-09-19,Female,80000.00,2022-04-30,Warrnambool
11069,Carolyn,Navarro,1966-09-17,Female,80000.00,2020-04-17,Gold Coast
11070,Willie,Raji,1960-10-02,Male,80000.00,2020-04-28,Sunbury
11071,Linda,Serrano,1960-12-23,Female,80000.00,2022-03-01,Hawthorne
11072,Casey,Luo,1960-08-05,Female,80000.00,2020-03-31,St. Leonards
11073,Amy,Ye,1962-02-11,Female,70000.00,2022-03-23,Springwood
11074,Levi,Arun,1962-02-25,Male,70000.00,2022-03-23,Cloverdale
11075,Felicia,Jimenez,1963-05-16,Female,80000.00,2020-04-28,Bendigo
11076,Blake,Anderson,1963-01-10,Male,80000.00,2020-04-21,Wollongong
11077,Leah,Ye,1963-03-19,Female,80000.00,2020-04-15,Melton
11078,Gina,Martin,1985-01-06,Female,40000.00,2022-02-15,Cliffside
11079,Donald,Gonzalez,1970-03-07,Male,160000.00,2022-03-15,Geelong
11080,Damien,Chander,1965-01-13,Male,170000.00,2020-04-10,Perth
11081,Savannah,Baker,1972-01-21,Female,120000.00,2022-02-12,Concord
11082,Angela,Butler,1972-02-01,Female,130000.00,2022-01-22,Fremont
11083,Alyssa,Cox,1977-03-11,Female,130000.00,2022-01-06,Lincoln Acres
11084,Lucas,Phillips,1963-03-12,Male,80000.00,2022-01-04,Lebanon
11085,Emily,Johnson,1963-01-16,Female,60000.00,2022-12-06,Newport Beach
11086,Ryan,Brown,1963-06-22,Male,70000.00,2022-07-02,Santa Monica
11087,Tamara,Liang,1963-04-02,Female,70000.00,2022-02-25,Chula Vista
11088,Hunter,Davis,1963-05-25,Male,80000.00,2022-01-13,San Diego
11089,Abigail,Price,1962-08-05,Female,80000.00,2021-12-29,Long Beach
11090,Trevor,Bryant,1968-12-13,Male,90000.00,2020-08-07,Los Angeles
11091,Dalton,Perez,1962-10-02,Male,90000.00,2022-01-29,Haney
11092,Cheryl,Diaz,1972-11-02,Female,90000.00,2020-04-08,East Brisbane
11093,Aimee,He,1978-09-06,Female,100000.00,2020-04-07,Wollongong
11094,Cedric,Ma,1967-09-29,Male,70000.00,2022-04-07,Cranbourne
11095,Chad,Kumar,1968-02-29,Male,70000.00,2020-04-01,Port Macquarie
11096,Andrés,Anand,1968-02-07,Male,60000.00,2020-04-11,North Sydney
11097,Edwin,Nara,1972-10-23,Male,60000.00,2020-04-04,Warrnambool
11098,Mallory,Rubio,1966-10-29,Female,60000.00,2022-02-11,Rhodes
11099,Adam,Ross,1966-09-05,Male,60000.00,2020-04-07,Port Macquarie
11100,Latasha,Navarro,1966-03-15,Female,60000.00,2020-04-16,Cloverdale
11101,Abby,Sai,1970-11-05,Female,70000.00,2020-04-29,Cranbourne
11102,Julia,Nelson,1970-10-19,Female,80000.00,2022-07-16,Sydney
11103,Cassie,Chande,1981-04-12,Female,70000.00,2020-04-15,Darlinghurst
11104,Edgar,Sara,1975-03-08,Male,70000.00,2020-05-04,Gold Coast
11105,Candace,Fernandez,1970-06-27,Female,70000.00,2020-05-14,Matraville
11106,Jessie,Liu,1970-03-11,Male,70000.00,2020-05-18,Warrnambool
11107,Bianca,Lin,1976-03-04,Female,90000.00,2020-05-01,St. Leonards
11108,Kari,Alvarez,1969-01-10,Female,70000.00,2020-05-03,Port Macquarie
11109,Ruben,Kapoor,1980-04-30,Male,70000.00,2020-05-10,South Melbourne
11110,Curtis,Yang,1967-12-04,Male,60000.00,2020-05-01,Darlinghurst
11111,Meredith,Gutierrez,1967-08-23,Female,60000.00,2020-05-20,Geelong
11112,Crystal,Wang,1968-03-08,Female,60000.00,2020-05-25,Hervey Bay
11113,Micheal,Blanco,1973-02-17,Male,70000.00,2022-02-01,Perth
11114,Leslie,Moreno,1967-11-25,Female,70000.00,2022-03-18,Rhodes
11115,Alvin,Cai,1967-08-12,Male,70000.00,2022-02-10,St. Leonards
